household_id,type,people,rooms,date,day_of_year,outside_temp_c,daily_consumption_kwh,peak_power_kw
H001,Residential,1,7,2023-01-01,1,10.4,9.35,1.25
H001,Residential,1,7,2023-01-02,2,10.2,9.51,1.05
H001,Residential,1,7,2023-01-03,3,10.5,11.01,1.2
H001,Residential,1,7,2023-01-04,4,11.7,6.87,0.82
H001,Residential,1,7,2023-01-05,5,10.6,7.49,0.88
H001,Residential,1,7,2023-01-06,6,11.5,8.53,0.94
H001,Residential,1,7,2023-01-07,7,10.5,9.88,1.15
H001,Residential,1,7,2023-01-08,8,10.9,9.88,1.29
H001,Residential,1,7,2023-01-09,9,11.6,9.41,1.05
H001,Residential,1,7,2023-01-10,10,7.9,10.03,1.06
H001,Residential,1,7,2023-01-11,11,10.0,10.57,1.35
H001,Residential,1,7,2023-01-12,12,9.9,10.62,1.31
H001,Residential,1,7,2023-01-13,13,9.6,9.92,1.12
H001,Residential,1,7,2023-01-14,14,10.4,10.86,1.13
H001,Residential,1,7,2023-01-15,15,13.6,8.52,0.95
H001,Residential,1,7,2023-01-16,16,9.5,9.24,1.09
H001,Residential,1,7,2023-01-17,17,12.9,9.13,1.19
H001,Residential,1,7,2023-01-18,18,8.2,10.42,1.14
H001,Residential,1,7,2023-01-19,19,10.7,9.32,1.1
H001,Residential,1,7,2023-01-20,20,11.7,10.27,1.29
H001,Residential,1,7,2023-01-21,21,12.6,6.84,0.66
H001,Residential,1,7,2023-01-22,22,12.9,7.32,0.94
H001,Residential,1,7,2023-01-23,23,13.1,7.46,0.8
H001,Residential,1,7,2023-01-24,24,11.2,8.8,1.08
H001,Residential,1,7,2023-01-25,25,11.1,8.94,1.08
H001,Residential,1,7,2023-01-26,26,13.6,7.05,0.91
H001,Residential,1,7,2023-01-27,27,11.8,8.04,1.0
H001,Residential,1,7,2023-01-28,28,10.0,9.2,0.89
H001,Residential,1,7,2023-01-29,29,10.3,11.8,1.32
H001,Residential,1,7,2023-01-30,30,10.8,10.96,1.32
H001,Residential,1,7,2023-01-31,31,13.5,7.99,0.94
H001,Residential,1,7,2023-02-01,32,13.0,8.19,1.01
H001,Residential,1,7,2023-02-02,33,14.1,7.2,0.91
H001,Residential,1,7,2023-02-03,34,12.2,7.1,0.89
H001,Residential,1,7,2023-02-04,35,13.4,8.68,1.02
H001,Residential,1,7,2023-02-05,36,14.4,7.24,0.73
H001,Residential,1,7,2023-02-06,37,12.8,8.49,0.97
H001,Residential,1,7,2023-02-07,38,14.3,6.78,0.83
H001,Residential,1,7,2023-02-08,39,12.5,8.01,0.87
H001,Residential,1,7,2023-02-09,40,13.1,8.59,1.07
H001,Residential,1,7,2023-02-10,41,13.2,8.74,1.12
H001,Residential,1,7,2023-02-11,42,11.9,9.71,1.17
H001,Residential,1,7,2023-02-12,43,15.1,6.8,0.61
H001,Residential,1,7,2023-02-13,44,13.5,9.04,0.97
H001,Residential,1,7,2023-02-14,45,14.5,7.37,1.01
H001,Residential,1,7,2023-02-15,46,15.5,8.22,0.94
H001,Residential,1,7,2023-02-16,47,15.6,7.69,0.77
H001,Residential,1,7,2023-02-17,48,16.1,6.53,0.85
H001,Residential,1,7,2023-02-18,49,14.9,8.03,0.96
H001,Residential,1,7,2023-02-19,50,14.5,8.31,1.08
H001,Residential,1,7,2023-02-20,51,15.2,8.29,1.01
H001,Residential,1,7,2023-02-21,52,12.5,8.55,1.05
H001,Residential,1,7,2023-02-22,53,13.1,9.76,1.2
H001,Residential,1,7,2023-02-23,54,13.5,9.17,1.15
H001,Residential,1,7,2023-02-24,55,14.2,7.9,1.11
H001,Residential,1,7,2023-02-25,56,16.9,8.33,1.07
H001,Residential,1,7,2023-02-26,57,14.7,9.49,0.99
H001,Residential,1,7,2023-02-27,58,15.8,9.14,1.13
H001,Residential,1,7,2023-02-28,59,19.0,6.32,0.82
H001,Residential,1,7,2023-03-01,60,16.1,6.87,0.9
H001,Residential,1,7,2023-03-02,61,18.3,8.27,0.95
H001,Residential,1,7,2023-03-03,62,15.4,6.93,0.9
H001,Residential,1,7,2023-03-04,63,16.9,6.73,0.86
H001,Residential,1,7,2023-03-05,64,15.7,7.3,1.05
H001,Residential,1,7,2023-03-06,65,17.0,7.67,0.86
H001,Residential,1,7,2023-03-07,66,19.2,7.13,0.81
H001,Residential,1,7,2023-03-08,67,14.8,7.41,0.86
H001,Residential,1,7,2023-03-09,68,18.8,6.71,0.77
H001,Residential,1,7,2023-03-10,69,18.7,6.69,0.74
H001,Residential,1,7,2023-03-11,70,17.3,6.99,0.65
H001,Residential,1,7,2023-03-12,71,15.9,9.36,1.08
H001,Residential,1,7,2023-03-13,72,18.8,7.41,0.91
H001,Residential,1,7,2023-03-14,73,17.9,7.85,0.9
H001,Residential,1,7,2023-03-15,74,19.5,6.85,0.94
H001,Residential,1,7,2023-03-16,75,19.2,7.07,0.84
H001,Residential,1,7,2023-03-17,76,22.3,6.69,0.88
H001,Residential,1,7,2023-03-18,77,19.1,5.56,0.68
H001,Residential,1,7,2023-03-19,78,17.9,6.21,0.79
H001,Residential,1,7,2023-03-20,79,20.2,5.9,0.72
H001,Residential,1,7,2023-03-21,80,20.4,5.58,0.74
H001,Residential,1,7,2023-03-22,81,22.6,6.34,0.76
H001,Residential,1,7,2023-03-23,82,21.8,8.15,1.01
H001,Residential,1,7,2023-03-24,83,21.1,7.17,0.88
H001,Residential,1,7,2023-03-25,84,23.3,8.54,0.99
H001,Residential,1,7,2023-03-26,85,18.7,7.5,0.92
H001,Residential,1,7,2023-03-27,86,19.8,7.76,1.09
H001,Residential,1,7,2023-03-28,87,19.5,6.55,0.76
H001,Residential,1,7,2023-03-29,88,20.6,7.58,0.93
H001,Residential,1,7,2023-03-30,89,19.0,7.72,1.01
H001,Residential,1,7,2023-03-31,90,22.8,6.78,0.88
H001,Residential,1,7,2023-04-01,91,21.4,7.98,0.95
H001,Residential,1,7,2023-04-02,92,19.3,7.61,0.73
H001,Residential,1,7,2023-04-03,93,20.3,6.8,0.84
H001,Residential,1,7,2023-04-04,94,22.8,6.39,0.63
H001,Residential,1,7,2023-04-05,95,23.9,6.35,0.84
H001,Residential,1,7,2023-04-06,96,26.1,7.26,0.88
